Station,Connected Station,Distance
Vinobapuri,Ashram,1.1999999999999993
Ashram,Vinobapuri,1.1999999999999993
Ashram,Sarai Kale Khan Hazrat Nizamuddin,1.9000000000000021
Sarai Kale Khan Hazrat Nizamuddin,Ashram,1.9000000000000021
Sarai Kale Khan Hazrat Nizamuddin,Mayur Vihar Phase-1,3.5999999999999943
Mayur Vihar Pocket I,Mayur Vihar Phase-1,0.8000000000000043
Mayur Vihar Pocket I,Trilokpuri Sanjay Lake,1.2999999999999972
Trilokpuri Sanjay Lake,Mayur Vihar Pocket I,1.2999999999999972
Trilokpuri Sanjay Lake,Vinod Nagar East,0.8000000000000043
Vinod Nagar East,Trilokpuri Sanjay Lake,0.8000000000000043
Vinod Nagar East,Mandawali - West Vinod Nagar,0.5999999999999943
Mandawali - West Vinod Nagar,Vinod Nagar East,0.5999999999999943
Mandawali - West Vinod Nagar,IP Extension,1.0
IP Extension,Mandawali - West Vinod Nagar,1.0
IP Extension,Anand Vihar,1.6000000000000014
Karkarduma Court,Karkar Duma,1.1000000000000014
Karkarduma Court,Krishna Nagar,0.7000000000000028
Krishna Nagar,Karkarduma Court,0.7000000000000028
Krishna Nagar,East Azad Nagar,1.0
East Azad Nagar,Krishna Nagar,1.0
East Azad Nagar,Welcome,1.0999999999999943
Jaffrabad,Welcome,1.2000000000000028
Jaffrabad,Maujpur,1.1000000000000014
Maujpur,Jaffrabad,1.1000000000000014
Maujpur,Gokulpuri,1.2999999999999972
Gokulpuri,Maujpur,1.2999999999999972
Gokulpuri,Johri Enclave,1.3000000000000043
Johri Enclave,Gokulpuri,1.3000000000000043
Johri Enclave,Shiv Vihar,0.8999999999999986
Shiv Vihar,Johri Enclave,0.8999999999999986
Noida Sector 51,Noida Sector 50,1.3
Noida Sector 50,Noida Sector 51,1.3
Noida Sector 50,Noida Sector 76,0.9999999999999998
Noida Sector 76,Noida Sector 50,0.9999999999999998
Noida Sector 76,Noida Sector 101,1.1
Noida Sector 101,Noida Sector 76,1.1
Noida Sector 101,Noida Sector 81,0.8999999999999999
Noida Sector 81,Noida Sector 101,0.8999999999999999
Noida Sector 81,NSEZ Noida,2.0
NSEZ Noida,Noida Sector 81,2.0
NSEZ Noida,Noida Sector 83,1.1000000000000005
Noida Sector 83,NSEZ Noida,1.1000000000000005
Noida Sector 83,Noida Sector 137,1.5
Noida Sector 137,Noida Sector 83,1.5
Noida Sector 137,Noida Sector 142,1.5999999999999996
Noida Sector 142,Noida Sector 137,1.5999999999999996
Noida Sector 142,Noida Sector 143,1.0
Noida Sector 143,Noida Sector 142,1.0
Noida Sector 143,Noida Sector 144,1.4000000000000004
Noida Sector 144,Noida Sector 143,1.4000000000000004
Noida Sector 144,Noida Sector 145,1.1999999999999993
Noida Sector 145,Noida Sector 144,1.1999999999999993
Noida Sector 145,Noida Sector 146,1.700000000000001
Noida Sector 146,Noida Sector 145,1.700000000000001
Noida Sector 146,Noida Sector 147,1.5
Noida Sector 147,Noida Sector 146,1.5
Noida Sector 147,Noida Sector 148,1.5999999999999979
Noida Sector 148,Noida Sector 147,1.5999999999999979
